tmean,j_day
6.23,1192
6.23,1193
6.23,1194
6.23,1195
6.23,1196
6.23,1197
6.23,1198
6.23,1199
6.23,1200
6.23,1201
6.23,1202
6.23,1203
6.23,1204
6.23,1205
6.23,1206
6.23,1207
6.23,1208
6.23,1209
6.23,1210
6.23,1211
6.23,1212
6.23,1213
6.23,1214
6.23,1215
12.54,1216
12.54,1217
12.54,1218
12.54,1219
12.54,1220
12.54,1221
12.54,1222
12.54,1223
12.54,1224
12.54,1225
12.54,1226
12.54,1227
12.54,1228
12.54,1229
12.54,1230
12.54,1231
12.54,1232
12.54,1233
12.54,1234
12.54,1235
12.54,1236
12.54,1237
12.54,1238
12.54,1239
12.54,1240
12.54,1241
12.54,1242
12.54,1243
12.54,1244
12.54,1245
12.54,1246
17.72,1247
17.72,1248
17.72,1249
17.72,1250
17.72,1251
17.72,1252
17.72,1253
17.72,1254
17.72,1255
17.72,1256
17.72,1257
17.72,1258
17.72,1259
17.72,1260
17.72,1261
17.72,1262
17.72,1263
17.72,1264
17.72,1265
17.72,1266
17.72,1267
17.72,1268
17.72,1269
17.72,1270
17.72,1271
17.72,1272
17.72,1273
17.72,1274
17.72,1275
17.72,1276
20.79,1277
20.79,1278
20.79,1279
20.79,1280
20.79,1281
20.79,1282
20.79,1283
20.79,1284
20.79,1285
20.79,1286
20.79,1287
20.79,1288
20.79,1289
20.79,1290
20.79,1291
20.79,1292
20.79,1293
20.79,1294
20.79,1295
20.79,1296
20.79,1297
20.79,1298
20.79,1299
20.79,1300
20.79,1301
20.79,1302
20.79,1303
20.79,1304
20.79,1305
20.79,1306
20.79,1307
20.09,1308
20.09,1309
20.09,1310
20.09,1311
20.09,1312
20.09,1313
20.09,1314
20.09,1315
20.09,1316
20.09,1317
20.09,1318
20.09,1319
20.09,1320
20.09,1321
20.09,1322
20.09,1323
20.09,1324
20.09,1325
20.09,1326
20.09,1327
20.09,1328
20.09,1329
20.09,1330
20.09,1331
20.09,1332
20.09,1333
20.09,1334
20.09,1335
20.09,1336
20.09,1337
20.09,1338
16.23,1339
16.23,1340
16.23,1341
16.23,1342
16.23,1343
16.23,1344
16.23,1345
16.23,1346
16.23,1347
16.23,1348
16.23,1349
16.23,1350
16.23,1351
16.23,1352
16.23,1353
16.23,1354
16.23,1355
16.23,1356
16.23,1357
16.23,1358
16.23,1359
