day,stage,pop,age_group,process,infected
11,eua,29943.05127094163,a,e,FALSE
11,eia,0,a,e,TRUE
11,fia,0,a,f,TRUE
11,fua,0,a,f,FALSE
11,dia,0,a,d,TRUE
11,dua,0,a,d,FALSE
11,qia,0,a,q,TRUE
11,qin,0,n,q,TRUE
11,qua,0,a,q,FALSE
11,qun,0,n,q,FALSE
12,__e,0,e,_,FALSE
12,eil,0,l,e,TRUE
12,eul,0,l,e,FALSE
12,d_l,0,l,d,FALSE
12,f_l,0,l,f,FALSE
12,ein,0,n,e,TRUE
12,eun,0,n,e,FALSE
12,din,0,n,d,TRUE
12,dun,0,n,d,FALSE
12,fin,0,n,f,TRUE
12,fun,0,n,f,FALSE
12,h_l,0,l,h,FALSE
12,q_l,0,l,q,FALSE
12,eua,29943.05127094163,a,e,FALSE
12,eia,0,a,e,TRUE
12,fia,0,a,f,TRUE
12,fua,0,a,f,FALSE
12,dia,0,a,d,TRUE
12,dua,0,a,d,FALSE
12,qia,0,a,q,TRUE
12,qin,0,n,q,TRUE
12,qua,0,a,q,FALSE
12,qun,0,n,q,FALSE
13,__e,0,e,_,FALSE
13,eil,0,l,e,TRUE
13,eul,0,l,e,FALSE
13,d_l,0,l,d,FALSE
13,f_l,0,l,f,FALSE
13,ein,0,n,e,TRUE
13,eun,0,n,e,FALSE
13,din,0,n,d,TRUE
13,dun,0,n,d,FALSE
13,fin,0,n,f,TRUE
13,fun,0,n,f,FALSE
13,h_l,0,l,h,FALSE
13,q_l,0,l,q,FALSE
13,eua,29943.05127094163,a,e,FALSE
13,eia,0,a,e,TRUE
13,fia,0,a,f,TRUE
13,fua,0,a,f,FALSE
13,dia,0,a,d,TRUE
13,dua,0,a,d,FALSE
13,qia,0,a,q,TRUE
13,qin,0,n,q,TRUE
13,qua,0,a,q,FALSE
13,qun,0,n,q,FALSE
14,__e,0,e,_,FALSE
14,eil,0,l,e,TRUE
14,eul,0,l,e,FALSE
14,d_l,0,l,d,FALSE
14,f_l,0,l,f,FALSE
14,ein,0,n,e,TRUE
14,eun,0,n,e,FALSE
14,din,0,n,d,TRUE
14,dun,0,n,d,FALSE
14,fin,0,n,f,TRUE
14,fun,0,n,f,FALSE
14,h_l,0,l,h,FALSE
14,q_l,0,l,q,FALSE
14,eua,29943.05127094163,a,e,FALSE
14,eia,0,a,e,TRUE
14,fia,0,a,f,TRUE
14,fua,0,a,f,FALSE
14,dia,0,a,d,TRUE
14,dua,0,a,d,FALSE
14,qia,0,a,q,TRUE
14,qin,0,n,q,TRUE
14,qua,0,a,q,FALSE
14,qun,0,n,q,FALSE
15,__e,0,e,_,FALSE
15,eil,0,l,e,TRUE
15,eul,0,l,e,FALSE
15,d_l,0,l,d,FALSE
15,f_l,0,l,f,FALSE
15,ein,0,n,e,TRUE
15,eun,0,n,e,FALSE
15,din,0,n,d,TRUE
15,dun,0,n,d,FALSE
15,fin,0,n,f,TRUE
15,fun,0,n,f,FALSE
15,h_l,0,l,h,FALSE
15,q_l,0,l,q,FALSE
15,eua,29943.05127094163,a,e,FALSE
15,eia,0,a,e,TRUE
15,fia,0,a,f,TRUE
15,fua,0,a,f,FALSE
15,dia,0,a,d,TRUE
15,dua,0,a,d,FALSE
15,qia,0,a,q,TRUE
15,qin,0,n,q,TRUE
15,qua,0,a,q,FALSE
15,qun,0,n,q,FALSE
16,__e,0,e,_,FALSE
16,eil,0,l,e,TRUE
16,eul,0,l,e,FALSE
16,d_l,0,l,d,FALSE
16,f_l,0,l,f,FALSE
16,ein,0,n,e,TRUE
16,eun,0,n,e,FALSE
16,din,0,n,d,TRUE
16,dun,0,n,d,FALSE
16,fin,0,n,f,TRUE
16,fun,0,n,f,FALSE
16,h_l,0,l,h,FALSE
16,q_l,0,l,q,FALSE
16,eua,29943.05127094163,a,e,FALSE
16,eia,0,a,e,TRUE
16,fia,0,a,f,TRUE
16,fua,0,a,f,FALSE
16,dia,0,a,d,TRUE
16,dua,0,a,d,FALSE
16,qia,0,a,q,TRUE
16,qin,0,n,q,TRUE
16,qua,0,a,q,FALSE
16,qun,0,n,q,FALSE
17,__e,0,e,_,FALSE
17,eil,0,l,e,TRUE
17,eul,0,l,e,FALSE
17,d_l,0,l,d,FALSE
17,f_l,0,l,f,FALSE
17,ein,0,n,e,TRUE
17,eun,0,n,e,FALSE
17,din,0,n,d,TRUE
17,dun,0,n,d,FALSE
17,fin,0,n,f,TRUE
17,fun,0,n,f,FALSE
17,h_l,0,l,h,FALSE
17,q_l,0,l,q,FALSE
17,eua,29943.05127094163,a,e,FALSE
17,eia,0,a,e,TRUE
17,fia,0,a,f,TRUE
17,fua,0,a,f,FALSE
17,dia,0,a,d,TRUE
17,dua,0,a,d,FALSE
17,qia,0,a,q,TRUE
17,qin,0,n,q,TRUE
17,qua,0,a,q,FALSE
17,qun,0,n,q,FALSE
18,__e,0,e,_,FALSE
18,eil,0,l,e,TRUE
18,eul,0,l,e,FALSE
18,d_l,0,l,d,FALSE
18,f_l,0,l,f,FALSE
18,ein,0,n,e,TRUE
18,eun,0,n,e,FALSE
18,din,0,n,d,TRUE
18,dun,0,n,d,FALSE
18,fin,0,n,f,TRUE
18,fun,0,n,f,FALSE
18,h_l,0,l,h,FALSE
18,q_l,0,l,q,FALSE
18,eua,29943.05127094163,a,e,FALSE
18,eia,0,a,e,TRUE
18,fia,0,a,f,TRUE
18,fua,0,a,f,FALSE
18,dia,0,a,d,TRUE
18,dua,0,a,d,FALSE
18,qia,0,a,q,TRUE
18,qin,0,n,q,TRUE
18,qua,0,a,q,FALSE
18,qun,0,n,q,FALSE
19,__e,0,e,_,FALSE
19,eil,0,l,e,TRUE
19,eul,0,l,e,FALSE
19,d_l,0,l,d,FALSE
19,f_l,0,l,f,FALSE
19,ein,0,n,e,TRUE
19,eun,0,n,e,FALSE
19,din,0,n,d,TRUE
19,dun,0,n,d,FALSE
19,fin,0,n,f,TRUE
19,fun,0,n,f,FALSE
19,h_l,0,l,h,FALSE
19,q_l,0,l,q,FALSE
19,eua,29943.05127094163,a,e,FALSE
19,eia,0,a,e,TRUE
19,fia,0,a,f,TRUE
19,fua,0,a,f,FALSE
19,dia,0,a,d,TRUE
19,dua,0,a,d,FALSE
19,qia,0,a,q,TRUE
19,qin,0,n,q,TRUE
19,qua,0,a,q,FALSE
19,qun,0,n,q,FALSE
20,__e,29943.05127094163,e,_,FALSE
20,eil,0,l,e,TRUE
20,eul,0,l,e,FALSE
20,d_l,0,l,d,FALSE
20,f_l,0,l,f,FALSE
20,ein,0,n,e,TRUE
20,eun,0,n,e,FALSE
20,din,0,n,d,TRUE
20,dun,0,n,d,FALSE
20,fin,0,n,f,TRUE
20,fun,0,n,f,FALSE
20,h_l,0,l,h,FALSE
20,q_l,0,l,q,FALSE
20,eua,0,a,e,FALSE
