host_spp,j_day,host_den
deer,598,0.25
mouse,599,40
squirrel,599,8
deer,599,0.25
mouse,600,40
squirrel,600,8
deer,600,0.25
mouse,601,40
squirrel,601,8
deer,601,0.25
mouse,602,40
squirrel,602,8
deer,602,0.25
mouse,603,40
squirrel,603,8
deer,603,0.25
mouse,604,40
squirrel,604,8
deer,604,0.25
mouse,605,40
squirrel,605,8
deer,605,0.25
mouse,606,40
squirrel,606,8
deer,606,0.25
mouse,607,40
squirrel,607,8
deer,607,0.25
mouse,608,40
squirrel,608,8
deer,608,0.25
mouse,609,40
squirrel,609,8
deer,609,0.25
mouse,610,40
squirrel,610,8
deer,610,0.25
mouse,611,40
squirrel,611,8
deer,611,0.25
mouse,612,40
squirrel,612,8
deer,612,0.25
mouse,613,40
squirrel,613,8
deer,613,0.25
mouse,614,40
squirrel,614,8
deer,614,0.25
mouse,615,40
squirrel,615,8
deer,615,0.25
mouse,616,40
squirrel,616,8
deer,616,0.25
mouse,617,40
squirrel,617,8
deer,617,0.25
mouse,618,40
squirrel,618,8
deer,618,0.25
mouse,619,40
squirrel,619,8
deer,619,0.25
mouse,620,40
squirrel,620,8
deer,620,0.25
mouse,621,40
squirrel,621,8
deer,621,0.25
mouse,622,40
squirrel,622,8
deer,622,0.25
mouse,623,40
squirrel,623,8
deer,623,0.25
mouse,624,40
squirrel,624,8
deer,624,0.25
mouse,625,40
squirrel,625,8
deer,625,0.25
mouse,626,40
squirrel,626,8
deer,626,0.25
mouse,627,40
squirrel,627,8
deer,627,0.25
mouse,628,40
squirrel,628,8
deer,628,0.25
mouse,629,40
squirrel,629,8
deer,629,0.25
mouse,630,40
squirrel,630,8
deer,630,0.25
mouse,631,40
squirrel,631,8
deer,631,0.25
mouse,632,40
squirrel,632,8
deer,632,0.25
mouse,633,40
squirrel,633,8
deer,633,0.25
mouse,634,40
squirrel,634,8
deer,634,0.25
mouse,635,40
squirrel,635,8
deer,635,0.25
mouse,636,40
squirrel,636,8
deer,636,0.25
mouse,637,40
squirrel,637,8
deer,637,0.25
mouse,638,40
squirrel,638,8
deer,638,0.25
mouse,639,40
squirrel,639,8
deer,639,0.25
mouse,640,40
squirrel,640,8
deer,640,0.25
mouse,641,40
squirrel,641,8
deer,641,0.25
mouse,642,40
squirrel,642,8
deer,642,0.25
mouse,643,40
squirrel,643,8
deer,643,0.25
mouse,644,40
squirrel,644,8
deer,644,0.25
mouse,645,40
squirrel,645,8
deer,645,0.25
mouse,646,40
squirrel,646,8
deer,646,0.25
mouse,647,40
squirrel,647,8
deer,647,0.25
mouse,648,40
squirrel,648,8
deer,648,0.25
mouse,649,40
squirrel,649,8
deer,649,0.25
mouse,650,40
squirrel,650,8
deer,650,0.25
mouse,651,40
squirrel,651,8
deer,651,0.25
mouse,652,40
squirrel,652,8
deer,652,0.25
mouse,653,40
squirrel,653,8
deer,653,0.25
mouse,654,40
squirrel,654,8
deer,654,0.25
mouse,655,40
squirrel,655,8
deer,655,0.25
mouse,656,40
squirrel,656,8
deer,656,0.25
mouse,657,40
squirrel,657,8
deer,657,0.25
mouse,658,40
squirrel,658,8
deer,658,0.25
mouse,659,40
squirrel,659,8
deer,659,0.25
mouse,660,40
squirrel,660,8
deer,660,0.25
mouse,661,40
squirrel,661,8
deer,661,0.25
mouse,662,40
squirrel,662,8
deer,662,0.25
mouse,663,40
squirrel,663,8
deer,663,0.25
mouse,664,40
squirrel,664,8
deer,664,0.25
mouse,665,40
squirrel,665,8
deer,665,0.25
mouse,666,40
squirrel,666,8
deer,666,0.25
mouse,667,40
squirrel,667,8
deer,667,0.25
mouse,668,40
squirrel,668,8
deer,668,0.25
mouse,669,40
squirrel,669,8
deer,669,0.25
mouse,670,40
squirrel,670,8
deer,670,0.25
mouse,671,40
squirrel,671,8
deer,671,0.25
mouse,672,40
squirrel,672,8
deer,672,0.25
mouse,673,40
squirrel,673,8
deer,673,0.25
mouse,674,40
squirrel,674,8
deer,674,0.25
mouse,675,40
squirrel,675,8
deer,675,0.25
mouse,676,40
squirrel,676,8
deer,676,0.25
mouse,677,40
squirrel,677,8
deer,677,0.25
mouse,678,40
squirrel,678,8
deer,678,0.25
mouse,679,40
squirrel,679,8
deer,679,0.25
mouse,680,40
squirrel,680,8
deer,680,0.25
mouse,681,40
squirrel,681,8
deer,681,0.25
mouse,682,40
squirrel,682,8
deer,682,0.25
mouse,683,40
squirrel,683,8
deer,683,0.25
mouse,684,40
squirrel,684,8
deer,684,0.25
mouse,685,40
squirrel,685,8
deer,685,0.25
mouse,686,40
squirrel,686,8
deer,686,0.25
mouse,687,40
squirrel,687,8
deer,687,0.25
mouse,688,40
squirrel,688,8
deer,688,0.25
mouse,689,40
squirrel,689,8
deer,689,0.25
mouse,690,40
squirrel,690,8
deer,690,0.25
mouse,691,40
squirrel,691,8
deer,691,0.25
mouse,692,40
squirrel,692,8
deer,692,0.25
mouse,693,40
squirrel,693,8
deer,693,0.25
mouse,694,40
squirrel,694,8
deer,694,0.25
mouse,695,40
squirrel,695,8
deer,695,0.25
mouse,696,40
squirrel,696,8
deer,696,0.25
mouse,697,40
squirrel,697,8
deer,697,0.25
mouse,698,40
squirrel,698,8
deer,698,0.25
mouse,699,40
squirrel,699,8
deer,699,0.25
mouse,700,40
squirrel,700,8
deer,700,0.25
mouse,701,40
squirrel,701,8
deer,701,0.25
mouse,702,40
squirrel,702,8
deer,702,0.25
mouse,703,40
squirrel,703,8
deer,703,0.25
mouse,704,40
squirrel,704,8
deer,704,0.25
mouse,705,40
squirrel,705,8
deer,705,0.25
mouse,706,40
squirrel,706,8
deer,706,0.25
mouse,707,40
squirrel,707,8
deer,707,0.25
mouse,708,40
squirrel,708,8
deer,708,0.25
mouse,709,40
squirrel,709,8
deer,709,0.25
mouse,710,40
squirrel,710,8
deer,710,0.25
mouse,711,40
squirrel,711,8
deer,711,0.25
mouse,712,40
squirrel,712,8
deer,712,0.25
mouse,713,40
squirrel,713,8
deer,713,0.25
mouse,714,40
squirrel,714,8
deer,714,0.25
mouse,715,40
squirrel,715,8
deer,715,0.25
mouse,716,40
squirrel,716,8
deer,716,0.25
mouse,717,40
squirrel,717,8
deer,717,0.25
mouse,718,40
squirrel,718,8
deer,718,0.25
mouse,719,40
squirrel,719,8
deer,719,0.25
mouse,720,40
squirrel,720,8
deer,720,0.25
mouse,721,40
squirrel,721,8
deer,721,0.25
mouse,722,40
squirrel,722,8
deer,722,0.25
mouse,723,40
squirrel,723,8
deer,723,0.25
mouse,724,40
squirrel,724,8
deer,724,0.25
mouse,725,40
squirrel,725,8
deer,725,0.25
mouse,726,40
squirrel,726,8
deer,726,0.25
mouse,727,40
squirrel,727,8
deer,727,0.25
mouse,728,40
squirrel,728,8
deer,728,0.25
mouse,729,40
squirrel,729,8
deer,729,0.25
mouse,730,40
squirrel,730,8
deer,730,0.25
mouse,731,40
squirrel,731,8
deer,731,0.25
mouse,732,40
squirrel,732,8
deer,732,0.25
mouse,733,40
squirrel,733,8
deer,733,0.25
mouse,734,40
squirrel,734,8
deer,734,0.25
mouse,735,40
squirrel,735,8
deer,735,0.25
mouse,736,40
squirrel,736,8
deer,736,0.25
mouse,737,40
squirrel,737,8
deer,737,0.25
mouse,738,40
squirrel,738,8
deer,738,0.25
mouse,739,40
squirrel,739,8
deer,739,0.25
mouse,740,40
squirrel,740,8
deer,740,0.25
mouse,741,40
squirrel,741,8
deer,741,0.25
mouse,742,40
squirrel,742,8
deer,742,0.25
mouse,743,40
squirrel,743,8
deer,743,0.25
mouse,744,40
squirrel,744,8
deer,744,0.25
mouse,745,40
squirrel,745,8
deer,745,0.25
mouse,746,40
squirrel,746,8
deer,746,0.25
mouse,747,40
squirrel,747,8
deer,747,0.25
mouse,748,40
squirrel,748,8
deer,748,0.25
mouse,749,40
squirrel,749,8
deer,749,0.25
mouse,750,40
squirrel,750,8
deer,750,0.25
mouse,751,40
squirrel,751,8
deer,751,0.25
mouse,752,40
squirrel,752,8
deer,752,0.25
mouse,753,40
squirrel,753,8
deer,753,0.25
mouse,754,40
squirrel,754,8
deer,754,0.25
mouse,755,40
squirrel,755,8
deer,755,0.25
mouse,756,40
squirrel,756,8
deer,756,0.25
mouse,757,40
squirrel,757,8
deer,757,0.25
mouse,758,40
squirrel,758,8
deer,758,0.25
mouse,759,40
squirrel,759,8
deer,759,0.25
mouse,760,40
squirrel,760,8
deer,760,0.25
mouse,761,40
squirrel,761,8
deer,761,0.25
mouse,762,40
squirrel,762,8
deer,762,0.25
mouse,763,40
squirrel,763,8
deer,763,0.25
mouse,764,40
squirrel,764,8
deer,764,0.25
mouse,765,40
squirrel,765,8
deer,765,0.25
mouse,766,40
squirrel,766,8
deer,766,0.25
mouse,767,40
squirrel,767,8
deer,767,0.25
mouse,768,40
squirrel,768,8
deer,768,0.25
mouse,769,40
squirrel,769,8
deer,769,0.25
mouse,770,40
squirrel,770,8
deer,770,0.25
mouse,771,40
squirrel,771,8
deer,771,0.25
mouse,772,40
squirrel,772,8
deer,772,0.25
mouse,773,40
squirrel,773,8
deer,773,0.25
mouse,774,40
squirrel,774,8
deer,774,0.25
mouse,775,40
squirrel,775,8
deer,775,0.25
mouse,776,40
squirrel,776,8
deer,776,0.25
mouse,777,40
squirrel,777,8
deer,777,0.25
mouse,778,40
squirrel,778,8
deer,778,0.25
mouse,779,40
squirrel,779,8
deer,779,0.25
mouse,780,40
squirrel,780,8
deer,780,0.25
mouse,781,40
squirrel,781,8
deer,781,0.25
mouse,782,40
squirrel,782,8
deer,782,0.25
mouse,783,40
squirrel,783,8
deer,783,0.25
mouse,784,40
squirrel,784,8
deer,784,0.25
mouse,785,40
squirrel,785,8
deer,785,0.25
mouse,786,40
squirrel,786,8
deer,786,0.25
mouse,787,40
squirrel,787,8
deer,787,0.25
mouse,788,40
squirrel,788,8
deer,788,0.25
mouse,789,40
squirrel,789,8
deer,789,0.25
mouse,790,40
squirrel,790,8
deer,790,0.25
mouse,791,40
squirrel,791,8
deer,791,0.25
mouse,792,40
squirrel,792,8
deer,792,0.25
mouse,793,40
squirrel,793,8
deer,793,0.25
mouse,794,40
squirrel,794,8
deer,794,0.25
mouse,795,40
squirrel,795,8
deer,795,0.25
mouse,796,40
squirrel,796,8
deer,796,0.25
mouse,797,40
squirrel,797,8
deer,797,0.25
mouse,798,40
squirrel,798,8
deer,798,0.25
mouse,799,40
squirrel,799,8
deer,799,0.25
mouse,800,40
squirrel,800,8
deer,800,0.25
mouse,801,40
squirrel,801,8
deer,801,0.25
mouse,802,40
squirrel,802,8
deer,802,0.25
mouse,803,40
squirrel,803,8
deer,803,0.25
mouse,804,40
squirrel,804,8
deer,804,0.25
mouse,805,40
squirrel,805,8
deer,805,0.25
mouse,806,40
squirrel,806,8
deer,806,0.25
mouse,807,40
squirrel,807,8
deer,807,0.25
mouse,808,40
squirrel,808,8
deer,808,0.25
mouse,809,40
squirrel,809,8
deer,809,0.25
mouse,810,40
squirrel,810,8
deer,810,0.25
mouse,811,40
squirrel,811,8
deer,811,0.25
mouse,812,40
squirrel,812,8
deer,812,0.25
mouse,813,40
squirrel,813,8
deer,813,0.25
mouse,814,40
squirrel,814,8
deer,814,0.25
mouse,815,40
squirrel,815,8
deer,815,0.25
mouse,816,40
squirrel,816,8
deer,816,0.25
mouse,817,40
squirrel,817,8
deer,817,0.25
mouse,818,40
squirrel,818,8
deer,818,0.25
mouse,819,40
squirrel,819,8
deer,819,0.25
mouse,820,40
squirrel,820,8
deer,820,0.25
mouse,821,40
squirrel,821,8
deer,821,0.25
mouse,822,40
squirrel,822,8
deer,822,0.25
mouse,823,40
squirrel,823,8
deer,823,0.25
mouse,824,40
squirrel,824,8
deer,824,0.25
mouse,825,40
squirrel,825,8
deer,825,0.25
mouse,826,40
squirrel,826,8
deer,826,0.25
mouse,827,40
squirrel,827,8
deer,827,0.25
mouse,828,40
squirrel,828,8
deer,828,0.25
mouse,829,40
squirrel,829,8
deer,829,0.25
mouse,830,40
squirrel,830,8
deer,830,0.25
mouse,831,40
squirrel,831,8
deer,831,0.25
mouse,832,40
squirrel,832,8
deer,832,0.25
mouse,833,40
squirrel,833,8
deer,833,0.25
mouse,834,40
squirrel,834,8
deer,834,0.25
mouse,835,40
squirrel,835,8
deer,835,0.25
mouse,836,40
squirrel,836,8
deer,836,0.25
mouse,837,40
squirrel,837,8
deer,837,0.25
mouse,838,40
squirrel,838,8
deer,838,0.25
mouse,839,40
squirrel,839,8
deer,839,0.25
mouse,840,40
squirrel,840,8
deer,840,0.25
mouse,841,40
squirrel,841,8
deer,841,0.25
mouse,842,40
squirrel,842,8
deer,842,0.25
mouse,843,40
squirrel,843,8
deer,843,0.25
mouse,844,40
squirrel,844,8
deer,844,0.25
mouse,845,40
squirrel,845,8
deer,845,0.25
mouse,846,40
squirrel,846,8
deer,846,0.25
mouse,847,40
squirrel,847,8
deer,847,0.25
mouse,848,40
squirrel,848,8
deer,848,0.25
mouse,849,40
squirrel,849,8
deer,849,0.25
mouse,850,40
squirrel,850,8
deer,850,0.25
mouse,851,40
squirrel,851,8
deer,851,0.25
mouse,852,40
squirrel,852,8
deer,852,0.25
mouse,853,40
squirrel,853,8
deer,853,0.25
mouse,854,40
squirrel,854,8
deer,854,0.25
mouse,855,40
squirrel,855,8
deer,855,0.25
mouse,856,40
squirrel,856,8
deer,856,0.25
mouse,857,40
squirrel,857,8
deer,857,0.25
mouse,858,40
squirrel,858,8
deer,858,0.25
mouse,859,40
squirrel,859,8
deer,859,0.25
mouse,860,40
squirrel,860,8
deer,860,0.25
mouse,861,40
squirrel,861,8
deer,861,0.25
mouse,862,40
squirrel,862,8
deer,862,0.25
mouse,863,40
squirrel,863,8
deer,863,0.25
mouse,864,40
squirrel,864,8
deer,864,0.25
mouse,865,40
squirrel,865,8
deer,865,0.25
mouse,866,40
squirrel,866,8
deer,866,0.25
mouse,867,40
squirrel,867,8
deer,867,0.25
mouse,868,40
squirrel,868,8
deer,868,0.25
mouse,869,40
squirrel,869,8
deer,869,0.25
mouse,870,40
squirrel,870,8
deer,870,0.25
mouse,871,40
squirrel,871,8
deer,871,0.25
mouse,872,40
squirrel,872,8
deer,872,0.25
mouse,873,40
squirrel,873,8
deer,873,0.25
mouse,874,40
squirrel,874,8
deer,874,0.25
mouse,875,40
squirrel,875,8
deer,875,0.25
mouse,876,40
squirrel,876,8
deer,876,0.25
mouse,877,40
squirrel,877,8
deer,877,0.25
mouse,878,40
squirrel,878,8
deer,878,0.25
mouse,879,40
squirrel,879,8
deer,879,0.25
mouse,880,40
squirrel,880,8
deer,880,0.25
mouse,881,40
squirrel,881,8
deer,881,0.25
mouse,882,40
squirrel,882,8
deer,882,0.25
mouse,883,40
squirrel,883,8
deer,883,0.25
mouse,884,40
squirrel,884,8
deer,884,0.25
mouse,885,40
squirrel,885,8
deer,885,0.25
mouse,886,40
squirrel,886,8
deer,886,0.25
mouse,887,40
squirrel,887,8
deer,887,0.25
mouse,888,40
squirrel,888,8
deer,888,0.25
mouse,889,40
squirrel,889,8
deer,889,0.25
mouse,890,40
squirrel,890,8
deer,890,0.25
mouse,891,40
squirrel,891,8
deer,891,0.25
mouse,892,40
squirrel,892,8
deer,892,0.25
mouse,893,40
squirrel,893,8
deer,893,0.25
mouse,894,40
squirrel,894,8
deer,894,0.25
mouse,895,40
squirrel,895,8
deer,895,0.25
mouse,896,40
squirrel,896,8
deer,896,0.25
mouse,897,40
squirrel,897,8
deer,897,0.25
mouse,898,40
squirrel,898,8
deer,898,0.25
mouse,899,40
squirrel,899,8
deer,899,0.25
mouse,900,40
squirrel,900,8
deer,900,0.25
mouse,901,40
squirrel,901,8
deer,901,0.25
mouse,902,40
squirrel,902,8
deer,902,0.25
mouse,903,40
squirrel,903,8
deer,903,0.25
mouse,904,40
squirrel,904,8
deer,904,0.25
mouse,905,40
squirrel,905,8
deer,905,0.25
mouse,906,40
squirrel,906,8
deer,906,0.25
mouse,907,40
squirrel,907,8
deer,907,0.25
mouse,908,40
squirrel,908,8
deer,908,0.25
mouse,909,40
squirrel,909,8
deer,909,0.25
mouse,910,40
squirrel,910,8
deer,910,0.25
mouse,911,40
squirrel,911,8
deer,911,0.25
mouse,912,40
squirrel,912,8
deer,912,0.25
mouse,913,40
squirrel,913,8
deer,913,0.25
mouse,914,40
squirrel,914,8
deer,914,0.25
mouse,915,40
squirrel,915,8
deer,915,0.25
mouse,916,40
squirrel,916,8
deer,916,0.25
mouse,917,40
squirrel,917,8
deer,917,0.25
mouse,918,40
squirrel,918,8
deer,918,0.25
mouse,919,40
squirrel,919,8
deer,919,0.25
mouse,920,40
squirrel,920,8
deer,920,0.25
mouse,921,40
squirrel,921,8
deer,921,0.25
mouse,922,40
squirrel,922,8
deer,922,0.25
mouse,923,40
squirrel,923,8
deer,923,0.25
mouse,924,40
squirrel,924,8
deer,924,0.25
mouse,925,40
squirrel,925,8
deer,925,0.25
mouse,926,40
squirrel,926,8
deer,926,0.25
mouse,927,40
squirrel,927,8
deer,927,0.25
mouse,928,40
squirrel,928,8
deer,928,0.25
mouse,929,40
squirrel,929,8
deer,929,0.25
mouse,930,40
squirrel,930,8
deer,930,0.25
mouse,931,40
squirrel,931,8
deer,931,0.25
mouse,932,40
squirrel,932,8
deer,932,0.25
mouse,933,40
squirrel,933,8
deer,933,0.25
mouse,934,40
squirrel,934,8
deer,934,0.25
mouse,935,40
squirrel,935,8
deer,935,0.25
mouse,936,40
squirrel,936,8
deer,936,0.25
mouse,937,40
squirrel,937,8
deer,937,0.25
mouse,938,40
squirrel,938,8
deer,938,0.25
mouse,939,40
squirrel,939,8
deer,939,0.25
mouse,940,40
squirrel,940,8
deer,940,0.25
mouse,941,40
squirrel,941,8
deer,941,0.25
mouse,942,40
squirrel,942,8
deer,942,0.25
mouse,943,40
squirrel,943,8
deer,943,0.25
mouse,944,40
squirrel,944,8
deer,944,0.25
mouse,945,40
squirrel,945,8
deer,945,0.25
mouse,946,40
squirrel,946,8
deer,946,0.25
mouse,947,40
squirrel,947,8
deer,947,0.25
mouse,948,40
squirrel,948,8
deer,948,0.25
mouse,949,40
squirrel,949,8
deer,949,0.25
mouse,950,40
squirrel,950,8
deer,950,0.25
mouse,951,40
squirrel,951,8
deer,951,0.25
mouse,952,40
squirrel,952,8
deer,952,0.25
mouse,953,40
squirrel,953,8
deer,953,0.25
mouse,954,40
squirrel,954,8
deer,954,0.25
mouse,955,40
squirrel,955,8
deer,955,0.25
mouse,956,40
squirrel,956,8
deer,956,0.25
mouse,957,40
squirrel,957,8
deer,957,0.25
mouse,958,40
squirrel,958,8
deer,958,0.25
mouse,959,40
squirrel,959,8
deer,959,0.25
mouse,960,40
squirrel,960,8
deer,960,0.25
mouse,961,40
squirrel,961,8
deer,961,0.25
mouse,962,40
squirrel,962,8
deer,962,0.25
mouse,963,40
squirrel,963,8
deer,963,0.25
mouse,964,40
squirrel,964,8
deer,964,0.25
mouse,965,40
squirrel,965,8
deer,965,0.25
mouse,966,40
squirrel,966,8
deer,966,0.25
mouse,967,40
squirrel,967,8
deer,967,0.25
mouse,968,40
squirrel,968,8
deer,968,0.25
mouse,969,40
squirrel,969,8
deer,969,0.25
mouse,970,40
squirrel,970,8
deer,970,0.25
mouse,971,40
squirrel,971,8
deer,971,0.25
mouse,972,40
squirrel,972,8
deer,972,0.25
mouse,973,40
squirrel,973,8
deer,973,0.25
mouse,974,40
squirrel,974,8
deer,974,0.25
mouse,975,40
squirrel,975,8
deer,975,0.25
mouse,976,40
squirrel,976,8
deer,976,0.25
mouse,977,40
squirrel,977,8
deer,977,0.25
mouse,978,40
squirrel,978,8
deer,978,0.25
mouse,979,40
squirrel,979,8
deer,979,0.25
mouse,980,40
squirrel,980,8
deer,980,0.25
mouse,981,40
squirrel,981,8
deer,981,0.25
mouse,982,40
squirrel,982,8
deer,982,0.25
mouse,983,40
squirrel,983,8
deer,983,0.25
mouse,984,40
squirrel,984,8
deer,984,0.25
mouse,985,40
squirrel,985,8
deer,985,0.25
mouse,986,40
squirrel,986,8
deer,986,0.25
mouse,987,40
squirrel,987,8
deer,987,0.25
mouse,988,40
squirrel,988,8
deer,988,0.25
mouse,989,40
squirrel,989,8
deer,989,0.25
mouse,990,40
squirrel,990,8
deer,990,0.25
mouse,991,40
squirrel,991,8
deer,991,0.25
mouse,992,40
squirrel,992,8
deer,992,0.25
mouse,993,40
squirrel,993,8
deer,993,0.25
mouse,994,40
squirrel,994,8
deer,994,0.25
mouse,995,40
squirrel,995,8
deer,995,0.25
mouse,996,40
squirrel,996,8
deer,996,0.25
mouse,997,40
squirrel,997,8
deer,997,0.25
mouse,998,40
squirrel,998,8
deer,998,0.25
mouse,999,40
squirrel,999,8
deer,999,0.25
mouse,1000,40
squirrel,1000,8
deer,1000,0.25
