host_spp,j_day,host_den
mouse,241,40
squirrel,241,8
deer,241,0.25
mouse,242,40
squirrel,242,8
deer,242,0.25
mouse,243,40
squirrel,243,8
deer,243,0.25
mouse,244,40
squirrel,244,8
deer,244,0.25
mouse,245,40
squirrel,245,8
deer,245,0.25
mouse,246,40
squirrel,246,8
deer,246,0.25
mouse,247,40
squirrel,247,8
deer,247,0.25
mouse,248,40
squirrel,248,8
deer,248,0.25
mouse,249,40
squirrel,249,8
deer,249,0.25
mouse,250,40
squirrel,250,8
deer,250,0.25
mouse,251,40
squirrel,251,8
deer,251,0.25
mouse,252,40
squirrel,252,8
deer,252,0.25
mouse,253,40
squirrel,253,8
deer,253,0.25
mouse,254,40
squirrel,254,8
deer,254,0.25
mouse,255,40
squirrel,255,8
deer,255,0.25
mouse,256,40
squirrel,256,8
deer,256,0.25
mouse,257,40
squirrel,257,8
deer,257,0.25
mouse,258,40
squirrel,258,8
deer,258,0.25
mouse,259,40
squirrel,259,8
deer,259,0.25
mouse,260,40
squirrel,260,8
deer,260,0.25
mouse,261,40
squirrel,261,8
deer,261,0.25
mouse,262,40
squirrel,262,8
deer,262,0.25
mouse,263,40
squirrel,263,8
deer,263,0.25
mouse,264,40
squirrel,264,8
deer,264,0.25
mouse,265,40
squirrel,265,8
deer,265,0.25
mouse,266,40
squirrel,266,8
deer,266,0.25
mouse,267,40
squirrel,267,8
deer,267,0.25
mouse,268,40
squirrel,268,8
deer,268,0.25
mouse,269,40
squirrel,269,8
deer,269,0.25
mouse,270,40
squirrel,270,8
deer,270,0.25
mouse,271,40
squirrel,271,8
deer,271,0.25
mouse,272,40
squirrel,272,8
deer,272,0.25
mouse,273,40
squirrel,273,8
deer,273,0.25
mouse,274,40
squirrel,274,8
deer,274,0.25
mouse,275,40
squirrel,275,8
deer,275,0.25
mouse,276,40
squirrel,276,8
deer,276,0.25
mouse,277,40
squirrel,277,8
deer,277,0.25
mouse,278,40
squirrel,278,8
deer,278,0.25
mouse,279,40
squirrel,279,8
deer,279,0.25
mouse,280,40
squirrel,280,8
deer,280,0.25
mouse,281,40
squirrel,281,8
deer,281,0.25
mouse,282,40
squirrel,282,8
deer,282,0.25
mouse,283,40
squirrel,283,8
deer,283,0.25
mouse,284,40
squirrel,284,8
deer,284,0.25
mouse,285,40
squirrel,285,8
deer,285,0.25
mouse,286,40
squirrel,286,8
deer,286,0.25
mouse,287,40
squirrel,287,8
deer,287,0.25
mouse,288,40
squirrel,288,8
deer,288,0.25
mouse,289,40
squirrel,289,8
deer,289,0.25
mouse,290,40
squirrel,290,8
deer,290,0.25
mouse,291,40
squirrel,291,8
deer,291,0.25
mouse,292,40
squirrel,292,8
deer,292,0.25
mouse,293,40
squirrel,293,8
deer,293,0.25
mouse,294,40
squirrel,294,8
deer,294,0.25
mouse,295,40
squirrel,295,8
deer,295,0.25
mouse,296,40
squirrel,296,8
deer,296,0.25
mouse,297,40
squirrel,297,8
deer,297,0.25
mouse,298,40
squirrel,298,8
deer,298,0.25
mouse,299,40
squirrel,299,8
deer,299,0.25
mouse,300,40
squirrel,300,8
deer,300,0.25
mouse,301,40
