j_day,host_spp,host_den
3591,mouse,100
3591,squirrel,8
3592,deer,8
3592,mouse,100
3592,squirrel,8
3593,deer,8
3593,mouse,100
3593,squirrel,8
3594,deer,8
3594,mouse,100
3594,squirrel,8
3595,deer,8
3595,mouse,100
3595,squirrel,8
3596,deer,8
3596,mouse,100
3596,squirrel,8
3597,deer,8
3597,mouse,100
3597,squirrel,8
3598,deer,8
3598,mouse,100
3598,squirrel,8
3599,deer,8
3599,mouse,100
3599,squirrel,8
3600,deer,8
3600,mouse,100
3600,squirrel,8
3601,deer,8
3601,mouse,100
3601,squirrel,8
3602,deer,8
3602,mouse,100
3602,squirrel,8
3603,deer,8
3603,mouse,100
3603,squirrel,8
3604,deer,8
3604,mouse,100
3604,squirrel,8
3605,deer,8
3605,mouse,100
3605,squirrel,8
3606,deer,8
3606,mouse,100
3606,squirrel,8
3607,deer,8
3607,mouse,100
3607,squirrel,8
3608,deer,8
3608,mouse,100
3608,squirrel,8
3609,deer,8
3609,mouse,100
3609,squirrel,8
3610,deer,8
3610,mouse,100
3610,squirrel,8
3611,deer,8
3611,mouse,100
3611,squirrel,8
3612,deer,8
3612,mouse,100
3612,squirrel,8
3613,deer,8
3613,mouse,100
3613,squirrel,8
3614,deer,8
3614,mouse,100
3614,squirrel,8
3615,deer,8
3615,mouse,100
3615,squirrel,8
3616,deer,8
3616,mouse,100
3616,squirrel,8
3617,deer,8
3617,mouse,100
3617,squirrel,8
3618,deer,8
3618,mouse,100
3618,squirrel,8
3619,deer,8
3619,mouse,100
3619,squirrel,8
3620,deer,8
3620,mouse,100
3620,squirrel,8
3621,deer,8
3621,mouse,100
3621,squirrel,8
3622,deer,8
3622,mouse,100
3622,squirrel,8
3623,deer,8
3623,mouse,100
3623,squirrel,8
3624,deer,8
3624,mouse,100
3624,squirrel,8
3625,deer,8
3625,mouse,100
3625,squirrel,8
3626,deer,8
3626,mouse,100
3626,squirrel,8
3627,deer,8
3627,mouse,100
3627,squirrel,8
3628,deer,8
3628,mouse,100
3628,squirrel,8
3629,deer,8
3629,mouse,100
3629,squirrel,8
3630,deer,8
3630,mouse,100
3630,squirrel,8
3631,deer,8
3631,mouse,100
3631,squirrel,8
3632,deer,8
3632,mouse,100
3632,squirrel,8
3633,deer,8
3633,mouse,100
3633,squirrel,8
3634,deer,8
3634,mouse,100
3634,squirrel,8
3635,deer,8
3635,mouse,100
3635,squirrel,8
3636,deer,8
3636,mouse,100
3636,squirrel,8
3637,deer,8
3637,mouse,100
3637,squirrel,8
3638,deer,8
3638,mouse,100
3638,squirrel,8
3639,deer,8
3639,mouse,100
3639,squirrel,8
3640,deer,8
3640,mouse,100
3640,squirrel,8
3641,deer,8
3641,mouse,100
3641,squirrel,8
3642,deer,8
3642,mouse,100
3642,squirrel,8
3643,deer,8
3643,mouse,100
3643,squirrel,8
3644,deer,8
3644,mouse,100
3644,squirrel,8
3645,deer,8
3645,mouse,100
3645,squirrel,8
3646,deer,8
3646,mouse,100
3646,squirrel,8
3647,deer,8
3647,mouse,100
3647,squirrel,8
3648,deer,8
3648,mouse,100
3648,squirrel,8
3649,deer,8
3649,mouse,100
3649,squirrel,8
3650,deer,8
3650,mouse,100
3650,squirrel,8
3651,deer,8
3651,mouse,100
3651,squirrel,8
3652,deer,8
3652,mouse,100
3652,squirrel,8
3653,deer,8
3653,mouse,100
3653,squirrel,8
3654,deer,8
3654,mouse,100
3654,squirrel,8
3655,deer,8
3655,mouse,100
3655,squirrel,8
3656,deer,8
3656,mouse,100
3656,squirrel,8
3657,deer,8
3657,mouse,100
3657,squirrel,8
3658,deer,8
3658,mouse,100
3658,squirrel,8
3659,deer,8
3659,mouse,100
3659,squirrel,8
3660,deer,8
3660,mouse,100
3660,squirrel,8
3661,deer,8
3661,mouse,100
3661,squirrel,8
3662,deer,8
3662,mouse,100
3662,squirrel,8
3663,deer,8
3663,mouse,100
3663,squirrel,8
3664,deer,8
3664,mouse,100
3664,squirrel,8
3665,deer,8
3665,mouse,100
3665,squirrel,8
3666,deer,8
3666,mouse,100
3666,squirrel,8
3667,deer,8
3667,mouse,100
3667,squirrel,8
3668,deer,8
3668,mouse,100
3668,squirrel,8
3669,deer,8
3669,mouse,100
3669,squirrel,8
3670,deer,8
3670,mouse,100
3670,squirrel,8
3671,deer,8
3671,mouse,100
3671,squirrel,8
3672,deer,8
3672,mouse,100
3672,squirrel,8
3673,deer,8
3673,mouse,100
3673,squirrel,8
3674,deer,8
3674,mouse,100
3674,squirrel,8
3675,deer,8
3675,mouse,100
3675,squirrel,8
3676,deer,8
3676,mouse,100
3676,squirrel,8
3677,deer,8
3677,mouse,100
3677,squirrel,8
3678,deer,8
3678,mouse,100
3678,squirrel,8
3679,deer,8
3679,mouse,100
3679,squirrel,8
3680,deer,8
3680,mouse,100
3680,squirrel,8
3681,deer,8
3681,mouse,100
3681,squirrel,8
3682,deer,8
3682,mouse,100
3682,squirrel,8
3683,deer,8
3683,mouse,100
3683,squirrel,8
3684,deer,8
3684,mouse,100
3684,squirrel,8
3685,deer,8
3685,mouse,100
3685,squirrel,8
3686,deer,8
3686,mouse,100
3686,squirrel,8
3687,deer,8
3687,mouse,100
3687,squirrel,8
3688,deer,8
3688,mouse,100
3688,squirrel,8
3689,deer,8
3689,mouse,100
3689,squirrel,8
3690,deer,8
3690,mouse,100
3690,squirrel,8
3691,deer,8
3691,mouse,100
3691,squirrel,8
3692,deer,8
3692,mouse,100
3692,squirrel,8
3693,deer,8
3693,mouse,100
3693,squirrel,8
3694,deer,8
3694,mouse,100
3694,squirrel,8
3695,deer,8
3695,mouse,100
3695,squirrel,8
3696,deer,8
3696,mouse,100
3696,squirrel,8
3697,deer,8
3697,mouse,100
3697,squirrel,8
3698,deer,8
3698,mouse,100
3698,squirrel,8
3699,deer,8
3699,mouse,100
3699,squirrel,8
3700,deer,8
3700,mouse,100
3700,squirrel,8
3701,deer,8
3701,mouse,100
3701,squirrel,8
3702,deer,8
3702,mouse,100
3702,squirrel,8
3703,deer,8
3703,mouse,100
3703,squirrel,8
3704,deer,8
3704,mouse,100
3704,squirrel,8
3705,deer,8
3705,mouse,100
3705,squirrel,8
3706,deer,8
3706,mouse,100
3706,squirrel,8
3707,deer,8
3707,mouse,100
3707,squirrel,8
3708,deer,8
3708,mouse,100
3708,squirrel,8
3709,deer,8
3709,mouse,100
3709,squirrel,8
3710,deer,8
3710,mouse,100
3710,squirrel,8
3711,deer,8
3711,mouse,100
3711,squirrel,8
3712,deer,8
3712,mouse,100
3712,squirrel,8
3713,deer,8
3713,mouse,100
3713,squirrel,8
3714,deer,8
3714,mouse,100
3714,squirrel,8
3715,deer,8
3715,mouse,100
3715,squirrel,8
3716,deer,8
3716,mouse,100
3716,squirrel,8
3717,deer,8
3717,mouse,100
3717,squirrel,8
3718,deer,8
3718,mouse,100
3718,squirrel,8
3719,deer,8
3719,mouse,100
3719,squirrel,8
3720,deer,8
3720,mouse,100
3720,squirrel,8
3721,deer,8
3721,mouse,100
3721,squirrel,8
3722,deer,8
3722,mouse,100
3722,squirrel,8
3723,deer,8
3723,mouse,100
3723,squirrel,8
3724,deer,8
3724,mouse,100
3724,squirrel,8
3725,deer,8
3725,mouse,100
3725,squirrel,8
3726,deer,8
3726,mouse,100
3726,squirrel,8
3727,deer,8
3727,mouse,100
3727,squirrel,8
3728,deer,8
3728,mouse,100
3728,squirrel,8
3729,deer,8
3729,mouse,100
3729,squirrel,8
3730,deer,8
3730,mouse,100
3730,squirrel,8
3731,deer,8
3731,mouse,100
3731,squirrel,8
3732,deer,8
3732,mouse,100
3732,squirrel,8
3733,deer,8
3733,mouse,100
3733,squirrel,8
3734,deer,8
3734,mouse,100
3734,squirrel,8
3735,deer,8
3735,mouse,100
3735,squirrel,8
3736,deer,8
3736,mouse,100
3736,squirrel,8
3737,deer,8
3737,mouse,100
3737,squirrel,8
3738,deer,8
3738,mouse,100
3738,squirrel,8
3739,deer,8
3739,mouse,100
3739,squirrel,8
3740,deer,8
3740,mouse,100
3740,squirrel,8
3741,deer,8
3741,mouse,100
3741,squirrel,8
3742,deer,8
3742,mouse,100
3742,squirrel,8
3743,deer,8
3743,mouse,100
3743,squirrel,8
3744,deer,8
3744,mouse,100
3744,squirrel,8
3745,deer,8
3745,mouse,100
3745,squirrel,8
3746,deer,8
3746,mouse,100
3746,squirrel,8
3747,deer,8
3747,mouse,100
3747,squirrel,8
3748,deer,8
3748,mouse,100
3748,squirrel,8
3749,deer,8
3749,mouse,100
3749,squirrel,8
3750,deer,8
3750,mouse,100
3750,squirrel,8
3751,deer,8
3751,mouse,100
3751,squirrel,8
3752,deer,8
3752,mouse,100
3752,squirrel,8
3753,deer,8
3753,mouse,100
3753,squirrel,8
3754,deer,8
3754,mouse,100
3754,squirrel,8
3755,deer,8
3755,mouse,100
3755,squirrel,8
3756,deer,8
3756,mouse,100
3756,squirrel,8
3757,deer,8
3757,mouse,100
3757,squirrel,8
3758,deer,8
3758,mouse,100
3758,squirrel,8
3759,deer,8
3759,mouse,100
3759,squirrel,8
3760,deer,8
3760,mouse,100
3760,squirrel,8
3761,deer,8
3761,mouse,100
3761,squirrel,8
3762,deer,8
3762,mouse,100
3762,squirrel,8
3763,deer,8
3763,mouse,100
3763,squirrel,8
3764,deer,8
3764,mouse,100
3764,squirrel,8
3765,deer,8
3765,mouse,100
3765,squirrel,8
3766,deer,8
3766,mouse,100
3766,squirrel,8
3767,deer,8
3767,mouse,100
3767,squirrel,8
3768,deer,8
3768,mouse,100
3768,squirrel,8
3769,deer,8
3769,mouse,100
3769,squirrel,8
3770,deer,8
3770,mouse,100
3770,squirrel,8
3771,deer,8
3771,mouse,100
3771,squirrel,8
3772,deer,8
3772,mouse,100
3772,squirrel,8
3773,deer,8
3773,mouse,100
3773,squirrel,8
3774,deer,8
3774,mouse,100
3774,squirrel,8
3775,deer,8
3775,mouse,100
3775,squirrel,8
3776,deer,8
3776,mouse,100
3776,squirrel,8
3777,deer,8
3777,mouse,100
3777,squirrel,8
3778,deer,8
3778,mouse,100
3778,squirrel,8
3779,deer,8
3779,mouse,100
3779,squirrel,8
3780,deer,8
3780,mouse,100
3780,squirrel,8
3781,deer,8
3781,mouse,100
3781,squirrel,8
3782,deer,8
3782,mouse,100
3782,squirrel,8
3783,deer,8
3783,mouse,100
3783,squirrel,8
3784,deer,8
3784,mouse,100
3784,squirrel,8
3785,deer,8
3785,mouse,100
3785,squirrel,8
3786,deer,8
3786,mouse,100
3786,squirrel,8
3787,deer,8
3787,mouse,100
3787,squirrel,8
3788,deer,8
3788,mouse,100
3788,squirrel,8
3789,deer,8
3789,mouse,100
3789,squirrel,8
3790,deer,8
3790,mouse,100
3790,squirrel,8
3791,deer,8
3791,mouse,100
3791,squirrel,8
3792,deer,8
3792,mouse,100
3792,squirrel,8
3793,deer,8
3793,mouse,100
3793,squirrel,8
3794,deer,8
3794,mouse,100
3794,squirrel,8
3795,deer,8
3795,mouse,100
3795,squirrel,8
3796,deer,8
3796,mouse,100
3796,squirrel,8
3797,deer,8
3797,mouse,100
3797,squirrel,8
3798,deer,8
3798,mouse,100
3798,squirrel,8
3799,deer,8
3799,mouse,100
3799,squirrel,8
3800,deer,8
3800,mouse,100
3800,squirrel,8
3801,deer,8
3801,mouse,100
3801,squirrel,8
3802,deer,8
3802,mouse,100
3802,squirrel,8
3803,deer,8
3803,mouse,100
3803,squirrel,8
3804,deer,8
3804,mouse,100
3804,squirrel,8
3805,deer,8
3805,mouse,100
3805,squirrel,8
3806,deer,8
3806,mouse,100
3806,squirrel,8
3807,deer,8
3807,mouse,100
3807,squirrel,8
3808,deer,8
3808,mouse,100
3808,squirrel,8
3809,deer,8
3809,mouse,100
3809,squirrel,8
3810,deer,8
3810,mouse,100
3810,squirrel,8
3811,deer,8
3811,mouse,100
3811,squirrel,8
3812,deer,8
3812,mouse,100
3812,squirrel,8
3813,deer,8
3813,mouse,100
3813,squirrel,8
3814,deer,8
3814,mouse,100
3814,squirrel,8
3815,deer,8
3815,mouse,100
3815,squirrel,8
3816,deer,8
3816,mouse,100
3816,squirrel,8
3817,deer,8
3817,mouse,100
3817,squirrel,8
3818,deer,8
3818,mouse,100
3818,squirrel,8
3819,deer,8
3819,mouse,100
3819,squirrel,8
3820,deer,8
3820,mouse,100
3820,squirrel,8
3821,deer,8
3821,mouse,100
3821,squirrel,8
3822,deer,8
3822,mouse,100
3822,squirrel,8
3823,deer,8
3823,mouse,100
3823,squirrel,8
3824,deer,8
3824,mouse,100
3824,squirrel,8
3825,deer,8
3825,mouse,100
3825,squirrel,8
3826,deer,8
3826,mouse,100
3826,squirrel,8
3827,deer,8
3827,mouse,100
3827,squirrel,8
3828,deer,8
3828,mouse,100
3828,squirrel,8
3829,deer,8
3829,mouse,100
3829,squirrel,8
3830,deer,8
3830,mouse,100
3830,squirrel,8
3831,deer,8
3831,mouse,100
3831,squirrel,8
3832,deer,8
3832,mouse,100
3832,squirrel,8
3833,deer,8
3833,mouse,100
3833,squirrel,8
3834,deer,8
3834,mouse,100
3834,squirrel,8
3835,deer,8
3835,mouse,100
3835,squirrel,8
3836,deer,8
3836,mouse,100
3836,squirrel,8
3837,deer,8
3837,mouse,100
3837,squirrel,8
3838,deer,8
3838,mouse,100
3838,squirrel,8
3839,deer,8
3839,mouse,100
3839,squirrel,8
3840,deer,8
3840,mouse,100
3840,squirrel,8
3841,deer,8
3841,mouse,100
3841,squirrel,8
3842,deer,8
3842,mouse,100
3842,squirrel,8
3843,deer,8
3843,mouse,100
3843,squirrel,8
3844,deer,8
3844,mouse,100
3844,squirrel,8
3845,deer,8
3845,mouse,100
3845,squirrel,8
3846,deer,8
3846,mouse,100
3846,squirrel,8
3847,deer,8
3847,mouse,100
3847,squirrel,8
3848,deer,8
3848,mouse,100
3848,squirrel,8
3849,deer,8
3849,mouse,100
3849,squirrel,8
3850,deer,8
3850,mouse,100
3850,squirrel,8
3851,deer,8
3851,mouse,100
3851,squirrel,8
3852,deer,8
3852,mouse,100
3852,squirrel,8
3853,deer,8
3853,mouse,100
3853,squirrel,8
3854,deer,8
3854,mouse,100
3854,squirrel,8
3855,deer,8
3855,mouse,100
3855,squirrel,8
3856,deer,8
3856,mouse,100
3856,squirrel,8
3857,deer,8
3857,mouse,100
3857,squirrel,8
3858,deer,8
3858,mouse,100
3858,squirrel,8
3859,deer,8
3859,mouse,100
3859,squirrel,8
3860,deer,8
3860,mouse,100
3860,squirrel,8
3861,deer,8
3861,mouse,100
3861,squirrel,8
3862,deer,8
3862,mouse,100
3862,squirrel,8
3863,deer,8
3863,mouse,100
3863,squirrel,8
3864,deer,8
3864,mouse,100
3864,squirrel,8
3865,deer,8
3865,mouse,100
3865,squirrel,8
3866,deer,8
3866,mouse,100
3866,squirrel,8
3867,deer,8
3867,mouse,100
3867,squirrel,8
3868,deer,8
3868,mouse,100
3868,squirrel,8
3869,deer,8
3869,mouse,100
3869,squirrel,8
3870,deer,8
3870,mouse,100
3870,squirrel,8
3871,deer,8
3871,mouse,100
3871,squirrel,8
3872,deer,8
3872,mouse,100
3872,squirrel,8
3873,deer,8
3873,mouse,100
3873,squirrel,8
3874,deer,8
3874,mouse,100
3874,squirrel,8
3875,deer,8
3875,mouse,100
3875,squirrel,8
3876,deer,8
3876,mouse,100
3876,squirrel,8
3877,deer,8
3877,mouse,100
3877,squirrel,8
3878,deer,8
3878,mouse,100
3878,squirrel,8
3879,deer,8
3879,mouse,100
3879,squirrel,8
3880,deer,8
3880,mouse,100
3880,squirrel,8
3881,deer,8
3881,mouse,100
3881,squirrel,8
3882,deer,8
3882,mouse,100
3882,squirrel,8
3883,deer,8
3883,mouse,100
3883,squirrel,8
3884,deer,8
3884,mouse,100
3884,squirrel,8
3885,deer,8
3885,mouse,100
3885,squirrel,8
3886,deer,8
3886,mouse,100
3886,squirrel,8
3887,deer,8
3887,mouse,100
3887,squirrel,8
3888,deer,8
3888,mouse,100
3888,squirrel,8
3889,deer,8
3889,mouse,100
3889,squirrel,8
3890,deer,8
3890,mouse,100
3890,squirrel,8
3891,deer,8
3891,mouse,100
3891,squirrel,8
3892,deer,8
3892,mouse,100
3892,squirrel,8
3893,deer,8
3893,mouse,100
3893,squirrel,8
3894,deer,8
3894,mouse,100
3894,squirrel,8
3895,deer,8
3895,mouse,100
3895,squirrel,8
3896,deer,8
3896,mouse,100
3896,squirrel,8
3897,deer,8
3897,mouse,100
3897,squirrel,8
3898,deer,8
3898,mouse,100
3898,squirrel,8
3899,deer,8
3899,mouse,100
3899,squirrel,8
3900,deer,8
3900,mouse,100
3900,squirrel,8
3901,deer,8
3901,mouse,100
3901,squirrel,8
3902,deer,8
3902,mouse,100
3902,squirrel,8
3903,deer,8
3903,mouse,100
3903,squirrel,8
3904,deer,8
3904,mouse,100
3904,squirrel,8
3905,deer,8
3905,mouse,100
3905,squirrel,8
3906,deer,8
3906,mouse,100
3906,squirrel,8
3907,deer,8
3907,mouse,100
3907,squirrel,8
3908,deer,8
3908,mouse,100
3908,squirrel,8
3909,deer,8
3909,mouse,100
3909,squirrel,8
3910,deer,8
3910,mouse,100
3910,squirrel,8
3911,deer,8
3911,mouse,100
3911,squirrel,8
3912,deer,8
3912,mouse,100
3912,squirrel,8
