day,stage,pop,age_group,process,infected
43,q_l,0,l,q,FALSE
43,e_a,0,a,e,FALSE
43,r_a,0,a,r,FALSE
43,a_a,0,a,a,FALSE
43,q_a,7766.55003874657,a,q,FALSE
43,q_n,0,n,q,FALSE
44,__e,0,e,_,FALSE
44,e_l,0,l,e,FALSE
44,e_n,0,n,e,FALSE
44,a_l,0,l,a,FALSE
44,a_n,0,n,a,FALSE
44,h_l,0,l,h,FALSE
44,q_l,0,l,q,FALSE
44,e_a,0,a,e,FALSE
44,r_a,0,a,r,FALSE
44,a_a,0,a,a,FALSE
44,q_a,7719.9507385140905,a,q,FALSE
44,q_n,0,n,q,FALSE
45,__e,0,e,_,FALSE
45,e_l,0,l,e,FALSE
45,e_n,0,n,e,FALSE
45,a_l,0,l,a,FALSE
45,a_n,0,n,a,FALSE
45,h_l,0,l,h,FALSE
45,q_l,0,l,q,FALSE
45,e_a,0,a,e,FALSE
45,r_a,0,a,r,FALSE
45,a_a,0,a,a,FALSE
45,q_a,7673.631034083006,a,q,FALSE
45,q_n,0,n,q,FALSE
46,__e,0,e,_,FALSE
46,e_l,0,l,e,FALSE
46,e_n,0,n,e,FALSE
46,a_l,0,l,a,FALSE
46,a_n,0,n,a,FALSE
46,h_l,0,l,h,FALSE
46,q_l,0,l,q,FALSE
46,e_a,0,a,e,FALSE
46,r_a,0,a,r,FALSE
46,a_a,0,a,a,FALSE
46,q_a,7627.589247878508,a,q,FALSE
46,q_n,0,n,q,FALSE
47,__e,0,e,_,FALSE
47,e_l,0,l,e,FALSE
47,e_n,0,n,e,FALSE
47,a_l,0,l,a,FALSE
47,a_n,0,n,a,FALSE
47,h_l,0,l,h,FALSE
47,q_l,0,l,q,FALSE
47,e_a,0,a,e,FALSE
47,r_a,0,a,r,FALSE
47,a_a,0,a,a,FALSE
47,q_a,7581.823712391237,a,q,FALSE
47,q_n,0,n,q,FALSE
48,__e,0,e,_,FALSE
48,e_l,0,l,e,FALSE
