value,j_day,pred,pred_subcategory
16.23,636,temp,NA
16.23,637,temp,NA
16.23,638,temp,NA
9.82,639,temp,NA
9.82,640,temp,NA
9.82,641,temp,NA
9.82,642,temp,NA
9.82,643,temp,NA
9.82,644,temp,NA
9.82,645,temp,NA
9.82,646,temp,NA
9.82,647,temp,NA
9.82,648,temp,NA
9.82,649,temp,NA
9.82,650,temp,NA
9.82,651,temp,NA
9.82,652,temp,NA
9.82,653,temp,NA
9.82,654,temp,NA
9.82,655,temp,NA
9.82,656,temp,NA
9.82,657,temp,NA
9.82,658,temp,NA
9.82,659,temp,NA
9.82,660,temp,NA
9.82,661,temp,NA
9.82,662,temp,NA
9.82,663,temp,NA
9.82,664,temp,NA
9.82,665,temp,NA
9.82,666,temp,NA
9.82,667,temp,NA
9.82,668,temp,NA
9.82,669,temp,NA
4.21,670,temp,NA
4.21,671,temp,NA
4.21,672,temp,NA
4.21,673,temp,NA
4.21,674,temp,NA
4.21,675,temp,NA
4.21,676,temp,NA
4.21,677,temp,NA
4.21,678,temp,NA
4.21,679,temp,NA
4.21,680,temp,NA
4.21,681,temp,NA
4.21,682,temp,NA
4.21,683,temp,NA
4.21,684,temp,NA
4.21,685,temp,NA
4.21,686,temp,NA
4.21,687,temp,NA
4.21,688,temp,NA
4.21,689,temp,NA
4.21,690,temp,NA
4.21,691,temp,NA
4.21,692,temp,NA
4.21,693,temp,NA
4.21,694,temp,NA
4.21,695,temp,NA
4.21,696,temp,NA
4.21,697,temp,NA
4.21,698,temp,NA
4.21,699,temp,NA
-0,700,temp,NA
-0,701,temp,NA
-0,702,temp,NA
-0,703,temp,NA
-0,704,temp,NA
-0,705,temp,NA
-0,706,temp,NA
-0,707,temp,NA
-0,708,temp,NA
-0,709,temp,NA
-0,710,temp,NA
-0,711,temp,NA
-0,712,temp,NA
-0,713,temp,NA
-0,714,temp,NA
-0,715,temp,NA
-0,716,temp,NA
-0,717,temp,NA
-0,718,temp,NA
-0,719,temp,NA
-0,720,temp,NA
-0,721,temp,NA
-0,722,temp,NA
-0,723,temp,NA
-0,724,temp,NA
-0,725,temp,NA
-0,726,temp,NA
-0,727,temp,NA
-0,728,temp,NA
-0,729,temp,NA
-0,730,temp,NA
-0,731,temp,NA
-0,732,temp,NA
-0,733,temp,NA
-0,734,temp,NA
-0,735,temp,NA
-0,736,temp,NA
-0,737,temp,NA
-0,738,temp,NA
-0,739,temp,NA
-0,740,temp,NA
-0,741,temp,NA
-0,742,temp,NA
-0,743,temp,NA
-0,744,temp,NA
-0,745,temp,NA
-0,746,temp,NA
-0,747,temp,NA
-0,748,temp,NA
-0,749,temp,NA
-0,750,temp,NA
-0,751,temp,NA
-0,752,temp,NA
-0,753,temp,NA
-0,754,temp,NA
-0,755,temp,NA
-0,756,temp,NA
-0,757,temp,NA
-0,758,temp,NA
-0,759,temp,NA
-0,760,temp,NA
-0,761,temp,NA
-0,762,temp,NA
-0,763,temp,NA
-0,764,temp,NA
-0,765,temp,NA
-0,766,temp,NA
-0,767,temp,NA
-0,768,temp,NA
-0,769,temp,NA
-0,770,temp,NA
-0,771,temp,NA
-0,772,temp,NA
-0,773,temp,NA
-0,774,temp,NA
-0,775,temp,NA
-0,776,temp,NA
-0,777,temp,NA
-0,778,temp,NA
-0,779,temp,NA
-0,780,temp,NA
-0,781,temp,NA
-0,782,temp,NA
-0,783,temp,NA
-0,784,temp,NA
-0,785,temp,NA
-0,786,temp,NA
-0,787,temp,NA
-0,788,temp,NA
-0,789,temp,NA
0.26,790,temp,NA
0.26,791,temp,NA
0.26,792,temp,NA
0.26,793,temp,NA
0.26,794,temp,NA
0.26,795,temp,NA
0.26,796,temp,NA
0.26,797,temp,NA
0.26,798,temp,NA
0.26,799,temp,NA
0.26,800,temp,NA
0.26,801,temp,NA
0.26,802,temp,NA
0.26,803,temp,NA
0.26,804,temp,NA
0.26,805,temp,NA
0.26,806,temp,NA
0.26,807,temp,NA
0.26,808,temp,NA
0.26,809,temp,NA
0.26,810,temp,NA
0.26,811,temp,NA
0.26,812,temp,NA
0.26,813,temp,NA
0.26,814,temp,NA
0.26,815,temp,NA
0.26,816,temp,NA
0.26,817,temp,NA
0.26,818,temp,NA
0.26,819,temp,NA
0.26,820,temp,NA
6.23,821,temp,NA
6.23,822,temp,NA
6.23,823,temp,NA
6.23,824,temp,NA
6.23,825,temp,NA
6.23,826,temp,NA
6.23,827,temp,NA
6.23,828,temp,NA
6.23,829,temp,NA
6.23,830,temp,NA
6.23,831,temp,NA
6.23,832,temp,NA
6.23,833,temp,NA
6.23,834,temp,NA
6.23,835,temp,NA
6.23,836,temp,NA
6.23,837,temp,NA
6.23,838,temp,NA
6.23,839,temp,NA
6.23,840,temp,NA
6.23,841,temp,NA
6.23,842,temp,NA
6.23,843,temp,NA
6.23,844,temp,NA
6.23,845,temp,NA
6.23,846,temp,NA
6.23,847,temp,NA
6.23,848,temp,NA
6.23,849,temp,NA
6.23,850,temp,NA
12.54,851,temp,NA
12.54,852,temp,NA
12.54,853,temp,NA
12.54,854,temp,NA
12.54,855,temp,NA
12.54,856,temp,NA
12.54,857,temp,NA
12.54,858,temp,NA
12.54,859,temp,NA
12.54,860,temp,NA
12.54,861,temp,NA
12.54,862,temp,NA
12.54,863,temp,NA
12.54,864,temp,NA
12.54,865,temp,NA
12.54,866,temp,NA
12.54,867,temp,NA
12.54,868,temp,NA
12.54,869,temp,NA
12.54,870,temp,NA
12.54,871,temp,NA
12.54,872,temp,NA
12.54,873,temp,NA
12.54,874,temp,NA
12.54,875,temp,NA
12.54,876,temp,NA
12.54,877,temp,NA
12.54,878,temp,NA
12.54,879,temp,NA
12.54,880,temp,NA
12.54,881,temp,NA
17.72,882,temp,NA
17.72,883,temp,NA
17.72,884,temp,NA
17.72,885,temp,NA
17.72,886,temp,NA
17.72,887,temp,NA
17.72,888,temp,NA
17.72,889,temp,NA
17.72,890,temp,NA
17.72,891,temp,NA
17.72,892,temp,NA
17.72,893,temp,NA
17.72,894,temp,NA
17.72,895,temp,NA
17.72,896,temp,NA
17.72,897,temp,NA
17.72,898,temp,NA
17.72,899,temp,NA
17.72,900,temp,NA
17.72,901,temp,NA
17.72,902,temp,NA
17.72,903,temp,NA
17.72,904,temp,NA
17.72,905,temp,NA
17.72,906,temp,NA
17.72,907,temp,NA
17.72,908,temp,NA
17.72,909,temp,NA
17.72,910,temp,NA
17.72,911,temp,NA
20.79,912,temp,NA
20.79,913,temp,NA
20.79,914,temp,NA
20.79,915,temp,NA
20.79,916,temp,NA
20.79,917,temp,NA
20.79,918,temp,NA
20.79,919,temp,NA
20.79,920,temp,NA
20.79,921,temp,NA
20.79,922,temp,NA
20.79,923,temp,NA
20.79,924,temp,NA
20.79,925,temp,NA
20.79,926,temp,NA
20.79,927,temp,NA
20.79,928,temp,NA
20.79,929,temp,NA
20.79,930,temp,NA
20.79,931,temp,NA
20.79,932,temp,NA
20.79,933,temp,NA
20.79,934,temp,NA
20.79,935,temp,NA
20.79,936,temp,NA
20.79,937,temp,NA
20.79,938,temp,NA
20.79,939,temp,NA
20.79,940,temp,NA
20.79,941,temp,NA
20.79,942,temp,NA
20.09,943,temp,NA
20.09,944,temp,NA
20.09,945,temp,NA
20.09,946,temp,NA
20.09,947,temp,NA
20.09,948,temp,NA
20.09,949,temp,NA
20.09,950,temp,NA
20.09,951,temp,NA
20.09,952,temp,NA
20.09,953,temp,NA
20.09,954,temp,NA
20.09,955,temp,NA
20.09,956,temp,NA
20.09,957,temp,NA
20.09,958,temp,NA
20.09,959,temp,NA
20.09,960,temp,NA
20.09,961,temp,NA
20.09,962,temp,NA
20.09,963,temp,NA
20.09,964,temp,NA
20.09,965,temp,NA
20.09,966,temp,NA
20.09,967,temp,NA
20.09,968,temp,NA
20.09,969,temp,NA
20.09,970,temp,NA
20.09,971,temp,NA
20.09,972,temp,NA
20.09,973,temp,NA
16.23,974,temp,NA
16.23,975,temp,NA
16.23,976,temp,NA
16.23,977,temp,NA
16.23,978,temp,NA
16.23,979,temp,NA
16.23,980,temp,NA
16.23,981,temp,NA
16.23,982,temp,NA
16.23,983,temp,NA
16.23,984,temp,NA
16.23,985,temp,NA
16.23,986,temp,NA
16.23,987,temp,NA
16.23,988,temp,NA
16.23,989,temp,NA
16.23,990,temp,NA
16.23,991,temp,NA
16.23,992,temp,NA
16.23,993,temp,NA
16.23,994,temp,NA
16.23,995,temp,NA
16.23,996,temp,NA
16.23,997,temp,NA
16.23,998,temp,NA
16.23,999,temp,NA
16.23,1000,temp,NA
16.23,1001,temp,NA
16.23,1002,temp,NA
16.23,1003,temp,NA
9.82,1004,temp,NA
9.82,1005,temp,NA
9.82,1006,temp,NA
9.82,1007,temp,NA
9.82,1008,temp,NA
9.82,1009,temp,NA
9.82,1010,temp,NA
9.82,1011,temp,NA
9.82,1012,temp,NA
9.82,1013,temp,NA
9.82,1014,temp,NA
9.82,1015,temp,NA
9.82,1016,temp,NA
9.82,1017,temp,NA
9.82,1018,temp,NA
9.82,1019,temp,NA
9.82,1020,temp,NA
9.82,1021,temp,NA
9.82,1022,temp,NA
9.82,1023,temp,NA
9.82,1024,temp,NA
9.82,1025,temp,NA
9.82,1026,temp,NA
9.82,1027,temp,NA
9.82,1028,temp,NA
9.82,1029,temp,NA
